visual_first_3_seconds,voice_first_3_seconds,background_music_type_first_3_seconds,seven_day_views,year,quarter,month,target,last_day_tags,Primary_Category_1_grouped,Video_Type_1_1_final,Video_Type_1_2_final,voice_first_3_seconds_grouped,thumbnail_1_grouped,thumbnail_sentiment_1_grouped,thumbnail_sentiment_2_grouped,time_distribution,date
commoner (np),text only (to),relevant,7477,2019,2,5,low,no_tags,entertainment,inspiring,no_video_type_1,text only (to),commoner,happy,action,12 PM - 03 PM,2019-05-15
commoner (np),common voice (optv),no music,4863,2019,4,11,low,no_tags,judiciary & crime,rare,no_video_type_1,common voice (optv),rare,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-11-14
famous personality (fp),voice of famous personality (fpv),no music,29582,2020,1,1,low,tags,politics,day-specific,rare,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,12 PM - 03 PM,2020-01-09
other,text only (to),relevant,25885,2020,1,1,low,tags,rare,emotions,rare,text only (to),rare,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2020-01-09
famous personality (fp),text only (to),neutral,159562,2020,1,1,high,tags,lifestyle,inspiring,no_video_type_1,text only (to),famous personality,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2020-01-28
other,text only (to),neutral,30150,2020,1,1,low,not_editable,judiciary & crime,informative,explainers,text only (to),rare,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2020-01-08
famous personality (fp),voice of famous personality (fpv),relevant,44101,2020,1,1,high,tags,sports & games,day-specific,rare,voice of famous personality (fpv),famous personality,happy,no_thumbnail_sentiment,6 AM - 9 AM,2020-01-11
famous personality (fp),common voice (optv),low,26665,2020,1,1,low,tags,politics,rare,no_video_type_1,common voice (optv),famous personality,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2020-01-08
commoner (np),text only (to),neutral,3648,2020,1,1,low,tags,judiciary & crime,informative,rare,text only (to),rare,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2020-01-08
commoner (np),common voice (optv),no music,66249,2020,1,1,high,tags,judiciary & crime,informative,no_video_type_1,common voice (optv),commoner,happy,no_thumbnail_sentiment,6 PM - 9 PM,2020-01-07
commoner (np),common voice (optv),no music,48085,2020,1,1,high,tags,entertainment,rare,rare,common voice (optv),commoner,happy,no_thumbnail_sentiment,12 PM - 03 PM,2020-01-08
other,text only (to),neutral,3197,2020,1,1,low,tags,government,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,3 PM - 6 PM,2020-01-10
commoner (np),common voice (optv),relevant,11533,2020,1,1,low,tags,government,informative,no_video_type_1,common voice (optv),commoner,happy,no_thumbnail_sentiment,12 PM - 03 PM,2020-01-09
other,text only (to),relevant,3070,2020,1,1,low,tags,sports & games,rare,inspiring,text only (to),crowd,happy,action,3 PM - 6 PM,2020-01-10
