person,person.1,person.2,person.3
bicycle,bicycle,bicycle,vehicle
car,car,car,vehicle
motorcycle,motorcycle,motorcycle,vehicle
airplane,airplane,airplane,vehicle
bus,bus,bus,vehicle
train,train,train,vehicle
truck,truck,truck,vehicle
boat,boat,boat,vehicle
traffic light,traffic light,traffic light,outdoor
fire hydrant,fire hydrant,fire hydrant,outdoor
street sign,-,-,outdoor
stop sign,stop sign,stop sign,outdoor
parking meter,parking meter,parking meter,outdoor
bench,bench,bench,outdoor
bird,bird,bird,animal
cat,cat,cat,animal
dog,dog,dog,animal
horse,horse,horse,animal
sheep,sheep,sheep,animal
cow,cow,cow,animal
elephant,elephant,elephant,animal
bear,bear,bear,animal
zebra,zebra,zebra,animal
giraffe,giraffe,giraffe,animal
hat,-,-,accessory
backpack,backpack,backpack,accessory
umbrella,umbrella,umbrella,accessory
shoe,-,-,accessory
eye glasses,-,-,accessory
handbag,handbag,handbag,accessory
tie,tie,tie,accessory
suitcase,suitcase,suitcase,accessory
frisbee,frisbee,frisbee,sports
skis,skis,skis,sports
snowboard,snowboard,snowboard,sports
sports ball,sports ball,sports ball,sports
kite,kite,kite,sports
baseball bat,baseball bat,baseball bat,sports
baseball glove,baseball glove,baseball glove,sports
skateboard,skateboard,skateboard,sports
surfboard,surfboard,surfboard,sports
tennis racket,tennis racket,tennis racket,sports
bottle,bottle,bottle,kitchen
plate,-,-,kitchen
wine glass,wine glass,wine glass,kitchen
cup,cup,cup,kitchen
fork,fork,fork,kitchen
knife,knife,knife,kitchen
spoon,spoon,spoon,kitchen
bowl,bowl,bowl,kitchen
banana,banana,banana,food
apple,apple,apple,food
sandwich,sandwich,sandwich,food
orange,orange,orange,food
broccoli,broccoli,broccoli,food
carrot,carrot,carrot,food
hot dog,hot dog,hot dog,food
pizza,pizza,pizza,food
donut,donut,donut,food
cake,cake,cake,food
chair,chair,chair,furniture
couch,couch,couch,furniture
potted plant,potted plant,potted plant,furniture
bed,bed,bed,furniture
mirror,-,-,furniture
dining table,dining table,dining table,furniture
window,-,-,furniture
desk,-,-,furniture
toilet,toilet,toilet,furniture
door,-,-,furniture
tv,tv,tv,electronic
laptop,laptop,laptop,electronic
mouse,mouse,mouse,electronic
remote,remote,remote,electronic
keyboard,keyboard,keyboard,electronic
cell phone,cell phone,cell phone,electronic
microwave,microwave,microwave,appliance
oven,oven,oven,appliance
toaster,toaster,toaster,appliance
sink,sink,sink,appliance
refrigerator,refrigerator,refrigerator,appliance
blender,-,-,appliance
book,book,book,indoor
clock,clock,clock,indoor
vase,vase,vase,indoor
scissors,scissors,scissors,indoor
teddy bear,teddy bear,teddy bear,indoor
hair drier,hair drier,hair drier,indoor
toothbrush,toothbrush,toothbrush,indoor
hair brush,-,-,indoor
