videoId,permalink_url_y,title,message,post_created_time,Primary_Category_1,Secondary_Category_1_revisited,Video_Type_1,Tags,visual_first_3_seconds,voice_first_3_seconds,background_music_type_first_3_seconds,thumbnail,thumbnail_Sentiment,seven_day_views
2343108625966714,https://www.facebook.com/1954072204870360/posts/2343108625966714/,'Kamali' Selected For Oscars,9 साल की Kamali Moorthy पर बनी short film हुई Oscar awards के लिए shortlist,2019-05-15 12:00:15,Entertainment,"Award/Achievement, X-Factor, Other Sports",Inspiring,no tags,commoner (np),text only (to),relevant,Commoner,"Happy, Action",7477.0
2493154734295435,https://www.facebook.com/1954072204870360/posts/2493154734295435/,What Is Sabarimala Temple Issue?,क्यों है सबरीमाला मंदिर में महिलाओं के प्रवेश पर विवाद?,2019-11-14 20:35:15,Judiciary & Crime,"Judicial, Religion",Controversial,"Sabarimala Temple, Sabarimala, Supreme Court, Women Right",commoner (np), common voice (optv),no music,Temple,Neutral ,4863.0
2549805008630407,https://www.facebook.com/1954072204870360/posts/2549805008630407/,India's External Affairs Minister S Jaishankar's Birthday,"विदेश में देश का नाम बढ़ाने वाले एस जयशंकर का आज है जन्मदिन

Ministry of External Affairs, Government of India",2020-01-09 14:17:15,Politics,Famous Personality,"Day-specific, Profile","S Jaishankar, Jaishankar on JNU, Jaishankar against Pakistan, Foreign Minister, External Affairs Minister, Diplomat",famous personality (fp), voice of famous personality (fpv),no music,Famous Personality,Happy ,29582.0
2549770155300559,https://www.facebook.com/1954072204870360/posts/2549770155300559/,Viral - Owner Makes His Dog Wear Helmet In Chennai,ट्रैफिक पुलिस का खौफ इतना की कुत्ते को पहना दिया हेलमेट!,2020-01-09 18:00:15,Weird News,"Animals, Person Specific","Funny, Viral","Dogs, Tamil Nadu, Funny Animals, Boxer Dogs, Chennai, India, Dog wears helmet, cute dog",other,text only (to),relevant,Animal,Neutral ,25885.0
2567158553561719,https://www.facebook.com/1954072204870360/posts/2567158553561719/,This Kollywood Actor Does Social Service By Daily Distributing Food Amongst The Poor,पर्दे का खलनायक जो रोज मिटाता है 100 लोगों की भूख,2020-01-28 12:50:15,Lifestyle,"Social Work, Famous Personality",Inspiring,not editable,famous personality (fp),text only (to),neutral,Famous Personality,neutral ,159562.0
2548838832060358,https://www.facebook.com/1954072204870360/posts/2548838832060358/,The Process Of Executing Death Sentence,कैसे दी जाएगी निर्भया के दोषियों को फांसी?,2020-01-08 17:00:15,Judiciary & Crime,"Judicial, Facts","Informative, Explainers","Pawan Jallad, Hangman Pawan Jallad, Nirbhaya case verdict, nirbhaya, nirbhaya rape case, Nirbhaya victims death penalty, death sentence",other,text only (to),neutral,Other,Neutral ,30150.0
2549703905307184,https://www.facebook.com/1954072204870360/posts/2549703905307184/,Rahul Dravid - The Wall Turns 47,"टीम इंडिया की वॉल का आज है बर्थडे

Rahul Dravid",2020-01-11 09:00:15,Sports & Games,"Cricket, Famous Personality","Day-specific, Profile","Test Cricket & First-Class Cricket, Cricket, Rahul Dravid, Rahul Dravid Birth Anniversary, Rahul Dravid Birthday, Happy birthday Rahul Dravid, Rahul Dravid the wall, Indian Cricket",famous personality (fp), voice of famous personality (fpv),relevant,Famous Personality,Happy ,44101.0
2548809705396604,https://www.facebook.com/1954072204870360/posts/2548809705396604/,Deepika Padukone Attends JNU Students Protest Against Campus Attack,"JNU जाने पर क्यों troll हुईं Deepika Padukone?

(via फिल्मी NEWJ)",2020-01-08 15:00:15,Politics,"Bollywood, Famous Personality",Controversial,"Tractors, Deepika Padukone, JNU Students, JNU Students Protest, Bollywood Actress",famous personality (fp), common voice (optv),low,Famous Personality,Neutral ,26665.0
2548956662048575,https://www.facebook.com/1954072204870360/posts/2548956662048575/,9-Judge Bench To Hear Sabrimala Matter,महिलाओं के मामले में होगी कौन सी सुप्रीम सुनवाई?,2020-01-08 20:30:15,Judiciary & Crime,"Judicial, Religion, News","Informative, Controversial","Muslim, Supreme Court, Justice Bobde, Sabarimala case, right to pray, parsis",commoner (np),text only (to),neutral,Heritage,Neutral ,3648.0
2547970535480521,https://www.facebook.com/1954072204870360/posts/2547970535480521/,Nirbhaya Case - All 4 Convicts To Be Hanged On 22nd January,"22 जनवरी को फांसी के फंदे पर लटकेंगे निर्भया के दोषी

#NirbhayaVerdict",2020-01-07 18:30:15,Judiciary & Crime,"Judicial, Crime",Informative,"nirbhaya case, nirbhaya rape case, nirbhaya verdict, nirbhaya",commoner (np), common voice (optv),no music,Commoner,Happy ,66249.0
2547882218822686,https://www.facebook.com/1954072204870360/posts/2547882218822686/,Baby Pragya Medha's Mesmerizing Soulful Duet With Her Mom,"इस बार लिटिल लता दी ने गाया कौन सा गाना?

Jubin Nautiyal",2020-01-08 12:00:15,Entertainment,"Music, X-Factor","Entertaining, Viral","Bollywood, pragya medha singing Kabir singh, Pragya medha with her mom, pragya medha singing, baby pragya medha",commoner (np), common voice (optv),no music,Commoner,Happy ,48085.0
2549937911950450,https://www.facebook.com/1954072204870360/posts/2549937911950450/,Air Conditioners To Be Set At Default Temperature,"अब से एसी में 24 डिग्री पर सेट रहेगा तापमान, जानिए सरकार ने क्यों उठाया ये कदम

Bureau of Energy Efficiency Ministry of Environment, Forest & Climate Change, Government of India",2020-01-10 17:00:15,Government, Policies/Norms/Rules,Informative,"Water Conservation, AC, Air Conditioner, Bureau of Enegry Efficiency, Default temparature in ACs, 24 degree celsius in AC",other,text only (to),neutral,Object,Neutral ,3197.0
2548981535379421,https://www.facebook.com/1954072204870360/posts/2548981535379421/,Travel In Tejas Express And Get Your House Insured,"घर में चोरी होने पर क्यों मुआवजा देगी आईआरसीटीसी?

Ministry of Railways, Government of India",2020-01-09 12:00:15,Government,Policies/Norms/Rules,Informative,"Tejas express, railway ministry, House insurance, robbery, IRCTC",commoner (np), common voice (optv),relevant,Commoner,Happy ,11533.0
2550730715204503,https://www.facebook.com/1954072204870360/posts/2550730715204503/,200 Visually Challenged Athletes Participate In Marathon,"कहां 200 नेत्रहिन एथलीट के लिए आयोजित हुई स्पेशल मैराथॉन? 

Pinkathon",2020-01-10 15:00:15,Sports & Games,"X-Factor, Other Sports","Event, Inspiring","Visually impaired athletes in Marathon, Mumbai Marathon, Pinkathon, Blind Athletes",other,text only (to),relevant,Crowd,"Happy, Action",3070.0
2548036172140624,https://www.facebook.com/1954072204870360/posts/2548036172140624/,Fact File - Events That Led To Violence In JNU,"जेएनयू में कब, क्या हुआ?",2020-01-07 20:30:15,Judiciary & Crime,"Crime, Facts","Informative, Controversial","JNU, JNU Violence, JNU mob attack, ABVP and AISA, Leftists, right wing",commoner (np), common voice (optv),no music,Crowd,Anger,11547.0
2546976705579904,https://www.facebook.com/1954072204870360/posts/2546976705579904/,Who was Irani General Qassem Soleimani?,कौन थे अमेरिकी हमले में मारे गए जनरल कासिम सुलेमानी?,2020-01-06 20:30:15,Global News,"Army, Famous Personality","General, Profile","Tehran, Iran, Baghdad, Iraq, Qassem Suleimani, Soleimani Assassination, Donald Trump, US Air Strike",other,text only (to),neutral,Famous Personality,Neutral ,63284.0
2547763365501238,https://www.facebook.com/1954072204870360/posts/2547763365501238/,Australian Bushfire Causes Devastating Impact On Its Wildlife,ऑस्ट्रेलिया में लगी आग से 50 करोड़ जानवरों की मौत,2020-01-07 15:00:15,Global News,"crisis, Animals","Trending, Emotional, Scary",not editable,commoner (np), common voice (optv),no music,"Nature, Animal",Neutral ,172310.0
2546812465596328,https://www.facebook.com/1954072204870360/posts/2546812465596328/,Nankana Sahib Attack's Main Accuse Imran Chisti Gets Arrested,पाकिस्तान में क्यों सुरक्षित नहीं है अल्पसंख्यक?,2020-01-06 16:30:15,Global News,"Religion,  Crime, Famous Personality","Trending, Controversial","Punjab (region), Pakistan, nankana Sahib, Nankana Sahib Violence, Mob attack on Nankana Sahib, Sikh girl in Pakistan, Minorities in pakistan",Crowd, common voice (optv),no music,Crowd,Anger,13607.0
